dataset_id,category,custodian,endpoint,access_method,http_status,format,native_crs,licence,vintage,size_or_count,intended_use,notes
abs_asgs2021_ste,admin-boundaries,ABS,https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/STE/FeatureServer/0,ArcGIS REST FeatureServer (f=geojson),200,"GeoJSON/EsriJSON, Polygon",EPSG:3857,CC BY 4.0,ASGS Ed. 3 (2021),"10 features, 11 fields",Reference layer: state/territory polygons; basis for derived NEM regions,10 features incl. Other Territories and 'Outside Australia' (null geometry rows to filter)
abs_asgs2021_aus,admin-boundaries,ABS,https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/AUS/FeatureServer/0,ArcGIS REST FeatureServer (f=geojson),200,"GeoJSON/EsriJSON, Polygon",EPSG:3857,CC BY 4.0,ASGS Ed. 3 (2021),"2 features, 9 fields",National land outline; land-mask candidate,AUS
abs_asgs2021_lga,admin-boundaries,ABS,https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/LGA/FeatureServer/0,ArcGIS REST FeatureServer (f=geojson),200,"GeoJSON/EsriJSON, Polygon",EPSG:3857,CC BY 4.0,ASGS Ed. 3 (2021),"566 features, 11 fields",Local Government Area boundaries (checklist item A),LGA
abs_asgs2021_sa2,admin-boundaries,ABS,https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/SA2/FeatureServer/0,ArcGIS REST FeatureServer (f=geojson),200,"GeoJSON/EsriJSON, Polygon",EPSG:3857,CC BY 4.0,ASGS Ed. 3 (2021),"2473 features, 19 fields",Population/demand allocation join geometry (Task 2 cross-reference),SA2
abs_asgs2021_ucl,urban,ABS,https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/UCL/FeatureServer/0,ArcGIS REST FeatureServer (f=geojson),200,"GeoJSON/EsriJSON, Polygon",EPSG:3857,CC BY 4.0,ASGS Ed. 3 (2021),"1837 features, 15 fields",Urban Centres and Localities: urban-extent exclusion evidence + demand proxy,UCL
capad2024_terrestrial,protected-areas,DCCEEW,https://gis.environment.gov.au/gispubmap/rest/services/ogc_services/CAPAD/FeatureServer/0,ArcGIS REST FeatureServer (f=geojson),200,"GeoJSON/EsriJSON, Polygon",EPSG:4283,CC BY 4.0,CAPAD 2024,"14492 features, 29 fields",Hard exclusion: terrestrial protected areas with IUCN categories,Protected Areas (CAPAD)
capad2024_marine,protected-areas,DCCEEW,https://gis.environment.gov.au/gispubmap/rest/services/ogc_services/CAPAD/FeatureServer/1,ArcGIS REST FeatureServer (f=geojson),200,"GeoJSON/EsriJSON, Polygon",EPSG:4283,CC BY 4.0,CAPAD 2024 (marine),"5337 features, 29 fields",Marine/terrestrial distinction (checklist C); not sampled — analysis grid is terrestrial,Marine Protected Areas (CAPAD)
abares_nlum_2020_21,land-use,ABARES,https://www.agriculture.gov.au/sites/default/files/documents/NLUM_v7_1_250m_ALUMV8_2020_21_alb_20260814.zip,HTTP zip download,200,"GeoTIFF (zipped), 250 m",EPSG:3577 (expected),CC BY 4.0,"2020–21 (NLUM v7.1, ALUM v8)",64.2 MB,National land use at screening resolution; window clip sampled,
abares_nlum_2015_16,land-use,ABARES,https://www.agriculture.gov.au/sites/default/files/documents/NLUM_v7_1_250m_ALUMV8_2015_16_alb_20260814.zip,HTTP zip download,200,"GeoTIFF (zipped), 250 m",EPSG:3577 (expected),CC BY 4.0,2015–16 (NLUM v7.1),65.0 MB,Earlier vintage; register only,
abares_clum_50m,land-use,ABARES,https://www.agriculture.gov.au/abares/aclump/land-use/data-download,Portal page (manual download),200,"GeoTIFF/Esri Grid, 50 m",EPSG:3577,CC BY 4.0,CLUM Dec 2023 v2,,Catchment-scale 50 m product; register only — 250 m NLUM matches the ~5 km screening grid and is 1/25th the data volume,
